date,usdkzt
2021-03-31,424.34
2021-04-30,427.75
2021-05-31,427.9
2021-06-30,427.79
2021-07-31,424.44
2021-08-31,425.74
2021-09-30,425.67
2021-10-31,427.11
2021-11-30,433.74
2021-12-31,431.67
2022-01-31,433.83
2022-02-28,467.09
2022-03-31,458.2
2022-04-30,446.38
2022-05-31,427.39
2022-06-30,465.08
2022-07-31,477.09
2022-08-31,468.1
2022-09-30,476.89
2022-10-31,467.0
2022-11-30,468.43
2022-12-31,462.65
2023-01-31,459.92
2023-02-28,449.14
2023-03-31,448.05
2023-04-30,453.39
2023-05-31,447.08
2023-06-30,454.13
2023-07-31,444.29
2023-08-31,461.44
2023-09-30,474.47
2023-10-31,471.87
2023-11-30,459.06
2023-12-31,454.56
2024-01-31,448.17
2024-02-29,451.31
2024-03-31,446.78
2024-04-30,441.44
2024-05-31,444.79
2024-06-30,471.46
2024-07-31,475.37
2024-08-31,481.63
2024-09-30,479.23
2024-10-31,488.45
2024-11-30,511.22
2024-12-31,523.54
2025-01-31,519.28
2025-02-28,501.49
2025-03-31,503.42
2025-04-30,512.32
2025-05-31,510.81
2025-06-30,520.39
2025-07-31,546.36
2025-08-31,538.54
2025-09-30,548.79
2025-10-31,530.07
2025-11-30,512.53
2025-12-31,502.57
2026-01-31,501.02
2026-02-28,497.56
2026-03-31,481.54
2026-04-30,461.55
2026-05-31,485.95
2026-06-30,485.82
2026-07-31,474.63
2026-08-31,464.77
2026-09-14,450.91
