start,end,sp_gross,sp_net,dep,dep_usd,cpi,excess_gross,excess_net
2000-01,2000-12,-0.04960496820139326,-0.05693170837292805,0.17562309556262345,0.13555966170586076,0.09784507862551162,-0.19158186379132702,-0.19781408243281973
2000-02,2001-01,0.03114551182633085,0.020867668922229132,0.17765754838559933,0.13014711757940778,0.0817717206132853,-0.1244097121103801,-0.13313707340330538
2000-03,2001-02,-0.0482520193541115,-0.05560794959057014,0.17756074135326183,0.12540047859012926,0.08791832104367447,-0.19176315308191028,-0.19800990535390361
2000-04,2001-03,-0.19660513383053513,-0.20281303293178665,0.17562507809797578,0.11271634044838197,0.09585933068632979,-0.3166232320687953,-0.32190374132034605
2000-05,2001-04,-0.10829211356960045,-0.11518760482846035,0.18067526430707104,0.11113493343592884,0.10005652911249285,-0.24474754965436174,-0.2505878441598173
2000-06,2001-05,-0.08197012972147577,-0.08909114985462274,0.17776624180959955,0.11318625752485367,0.09652076318743141,-0.22053304154141729,-0.226579249931807
2000-07,2001-06,-0.1250104018396636,-0.1318022037932709,0.1726497163328855,0.11400033899047268,0.09035136642498887,-0.25383549241234027,-0.25962733447652175
2000-08,2001-07,-0.11867584629358263,-0.12554139705033973,0.17014343662678977,0.11466857069818626,0.08500000000000263,-0.24682382849829165,-0.25269110129738426
2000-09,2001-08,-0.22003817594104813,-0.22615367284732368,0.1661104459540239,0.1184583082376367,0.0825942350332598,-0.33114240870996936,-0.33638676350285723
2000-10,2001-09,-0.24076283333623527,-0.24675506489009358,0.16266381409406128,0.11962438998110203,0.07942636514065105,-0.34698477972727093,-0.3521386612545183
2000-11,2001-10,-0.22035350236513995,-0.2265310809102381,0.16027386216573114,0.1233505408540263,0.0735694822888282,-0.3280495897928821,-0.33337383154867517
2000-12,2001-11,-0.09513018149771779,-0.10230028513140788,0.1586511015193457,0.11441061721933954,0.06766917293233465,-0.219031667673106,-0.2252199875428993
2001-01,2001-12,-0.08410235115235187,-0.09140576568789127,0.15645939370332895,0.12311172183736163,0.06419098143236002,-0.20801572987818462,-0.2143310528158553
2001-02,2002-01,-0.12563775722843307,-0.1326373741457062,0.15379561754145898,0.12544687781489272,0.060367454068241955,-0.2421861987700359,-0.2482527991374286
2001-03,2002-02,-0.054029433184452746,-0.06163677444509774,0.15066545843435053,0.12751432300389953,0.056308654848801876,-0.17789261867417205,-0.18450387236644494
2001-04,2002-03,0.04892109366345254,0.036455743533485796,0.14858143438844995,0.12848260715361115,0.050207039337473836,-0.08676819748358588,-0.09762101971869697
2001-05,2002-04,-0.08337811544090401,-0.0907430727042896,0.1443298785319489,0.13053261809671612,0.04830421377184191,-0.19898807000038976,-0.20542411383840786
2001-06,2002-05,-0.0983807603366964,-0.10564338471232759,0.14140922759876196,0.12713450957243744,0.05322415557829974,-0.21008239826474528,-0.21644525586219954
2001-07,2002-06,-0.1429375721856656,-0.14992212207912625,0.13821437177112084,0.12496815014448281,0.0578005115089506,-0.24701141624077316,-0.25314782610053654
2001-08,2002-07,-0.19962525340135462,-0.2061801138345517,0.13558894937968913,0.1274214754168541,0.06502816180235538,-0.29518973653640534,-0.3009619487763867
2001-09,2002-08,-0.14093139095147478,-0.14797154138409108,0.1326901304212924,0.12590713683785237,0.06195596518177071,-0.24156785163387673,-0.24778327652682408
2001-10,2002-09,-0.1679854803203802,-0.1748612666691891,0.12877272384374816,0.1253711912512423,0.060807358201328654,-0.26290341527175976,-0.2689947977117918
2001-11,2002-10,-0.11523573744693671,-0.122607813537288,0.12477361144980548,0.12022969094472047,0.05989847715735985,-0.21338458375403746,-0.2199388592236129
2001-12,2002-11,-0.1333824751031112,-0.14063876402270326,0.12199364701221316,0.11519642701708022,0.06036217303822755,-0.22760924074336097,-0.2340765580395997
2002-01,2002-12,-0.19299676625296114,-0.19982008603096912,0.12051442005504498,0.11194574984098993,0.06580259222332785,-0.2797921924936986,-0.28588164538772987
2002-02,2003-01,-0.21033170699954207,-0.21703943868679165,0.11885138743952783,0.10065906496095645,0.0688118811881202,-0.29421520868146733,-0.3002104031841082
2002-03,2003-02,-0.22325677157136448,-0.22991373220331557,0.11709900294019948,0.07732055883363342,0.07058242843040397,-0.3046782546719218,-0.31063740476911994
2002-04,2003-03,-0.24720995091057918,-0.2537198813275977,0.11599342042182559,0.07125411585318231,0.07195662888122323,-0.3254529683473585,-0.3312862737216482
