start,end,sp_gross,sp_net,dep,dep_usd,cpi,excess_gross,excess_net
2000-01,2014-12,0.061862178665376355,0.05331687845547117,0.10788250164433744,0.08788733953278838,0.08024022699436184,-0.041538992547185294,-0.04925217530548509
2000-02,2015-01,0.06352810433525025,0.05489090568697552,0.10755314991380227,0.08778817730817168,0.07884968865029318,-0.03974982652704162,-0.047548277237011605
2000-03,2015-02,0.06873317858726846,0.05981732294886144,0.10707219100335741,0.08735413034481998,0.0790551893383813,-0.034630995817302224,-0.04268454075399364
2000-04,2015-03,0.06037693215035467,0.05188978891959106,0.10650603234573452,0.08647024628142597,0.07912709280201691,-0.041688973080055036,-0.04935919175276415
2000-05,2015-04,0.06309772570438676,0.05446145847370043,0.10636574743729099,0.08606195412280648,0.07895458931778188,-0.039108244116493496,-0.046914222610215606
2000-06,2015-05,0.06543266157992456,0.05666538809444588,0.10579426839896433,0.08575435808127074,0.07864343456514855,-0.0365001049222996,-0.04442859011708422
2000-07,2015-06,0.062289669171694984,0.053677227943449424,0.10507190613525474,0.08546050705571129,0.07812908991422018,-0.0387144372470577,-0.04650799455353716
2000-08,2015-07,0.06530258983650294,0.05652734465110765,0.10454936248841107,0.08560596757418026,0.07792088951511533,-0.03553193183099579,-0.04347657014541717
2000-09,2015-08,0.07351469692183721,0.06432103274388323,0.10388794035530635,0.10269465510141873,0.07797663759307194,-0.02751478870553914,-0.035843228433755536
2000-10,2015-09,0.0848491446786106,0.07513665465665942,0.10331184296946327,0.11185779005351115,0.07833414103084246,-0.016733889342800845,-0.02553692185245915
2000-11,2015-10,0.09340769700873874,0.08334199418277444,0.10286910742959643,0.11400372251193991,0.08111490266688803,-0.008578906016244225,-0.017705739616129756
2000-12,2015-11,0.10591576944186887,0.09537779431180504,0.1024506222997641,0.12003941099866333,0.08268186861425053,0.0031431313766019375,-0.006415550814606874
2001-01,2015-12,0.1115580413754973,0.10081830115922452,0.10200204395280532,0.12699035638060896,0.08265674554871305,0.008671487929745814,-0.0010741747713414185
2001-02,2016-01,0.11031685562776694,0.09961404192520984,0.10157176966223846,0.1318295472328792,0.08282724403433783,0.007938734639332479,-0.0017772130613232795
2001-03,2016-02,0.11400698201738191,0.10316640209331829,0.10112373367976923,0.12816592804726556,0.08312607138121364,0.01170009140985373,0.0018550761836029217
2001-04,2016-03,0.1222466063987413,0.11113976220180044,0.10093010918151268,0.1263351477959731,0.08296107201701508,0.019362261999607222,0.00927366136609531
2001-05,2016-04,0.11343297997640378,0.10259890494662449,0.10071246579921334,0.12247836304507853,0.08287168259114219,0.011556618619699366,0.0017138346353162692
2001-06,2016-05,0.11605910002538189,0.10512977159001324,0.1005612814389345,0.12398140127584156,0.08293557185874945,0.014081740697060363,0.004151054764625073
2001-07,2016-06,0.11835551611104345,0.10734334151748337,0.10041618192990387,0.12395905178075317,0.08318686960328048,0.016302317682822087,0.00629503609755222
2001-08,2016-07,0.12454387477493345,0.11333985083618314,0.10027706021019522,0.1264179101283358,0.08362103167267865,0.022055185409484368,0.011872273901168517
2001-09,2016-08,0.12644022695511437,0.11516951581209023,0.10013801340263306,0.12301799220493614,0.08376537979983767,0.023908103557962468,0.013663287902365928
2001-10,2016-09,0.13160627801619285,0.12018378337115254,0.10002318084204576,0.1216407465228122,0.08376190930999572,0.0287113014745477,0.01832743425795269
2001-11,2016-10,0.12827068448781342,0.11694023224977856,0.0999264451971773,0.1207962549226047,0.08371575773846285,0.025769213400042457,0.01546811346057897
2001-12,2016-11,0.1267378791719469,0.11543715035538638,0.09982972603306606,0.12178679639920431,0.08392045523968594,0.024465744562055747,0.014190764218215968
2002-01,2016-12,0.1251607598411828,0.11390262414639984,0.09977533197235378,0.11909085526655883,0.08391656469962494,0.023082376127951942,0.012845616521248937
2002-02,2017-01,0.1255243093100713,0.11425486439285093,0.09973905132199534,0.11666532261515994,0.08398979280244823,0.0234467057954153,0.013199324924768385
