event,period,sp_usd,fx,sp_kzt,dep_kzt
Кризис 2008,2007-10 — 2009-02,-0.5016850341115536,0.24363425925925974,-0.3802784365195192,0.17156196550426372
Девальвация 2014,2014-01 — 2014-02,0.009587975014758277,0.19822928194778977,0.20971787436505673,0.013377770833333358
Девальвация 2015,2015-07 — 2016-01,-0.04819113225430316,0.9614930182599359,0.8669664488010791,0.0498669323319505
COVID-19,2020-01 — 2020-03,-0.19598015484016873,0.17532399391363684,-0.05501618440092382,0.02283832692708332
2022: ставки ФРС,2021-12 — 2022-12,-0.14440912244207782,0.06665283349472073,-0.08738156614060766,0.12147697056411122
