month,sp_usd,sp_px_usd,div_usd,fx,sp_kzt,dep_kzt,dep_usd_kzt,cpi,sp_net_usd,sp_net_kzt
2000-01,-0.05024243463299105,-0.05090354879190062,0.0006611141589095704,0.009044862518089669,-0.041652008028730925,0.011250000000000001,0.01619226362759285,0.02562609202096855,-0.05042493509016082,-0.04183615917744521
2000-02,-0.018928643255316957,-0.020108083256356934,0.0011794400010399775,0.0050197203298674165,-0.014003939420815015,0.01375,0.012641119875702156,0.0011357183418501116,-0.019188892588806288,-0.014265495133174544
2000-03,0.09782851593608966,0.09671982835364812,0.0011086875824415365,0.011773100249732549,0.11075336111122036,0.013916666666666666,0.018855511951480608,0.0,0.09757887946539008,0.11050078564532506
2000-04,-0.03008567756591407,-0.030795755780191336,0.0007100782142772655,0.0024682651622003338,-0.02769167183353083,0.008749999999999999,0.009402003996238806,0.0034032898468505657,-0.030275522631388996,-0.027881985486967076
2000-05,-0.020518074050611235,-0.021915050603417807,0.0013969765528065725,0.00140696447414701,-0.019139977777731354,0.014666666666666668,0.007832659162856137,0.007348784624081839,-0.020810953866865555,-0.019433269665482422
2000-06,0.024653803216618586,0.023933549615877237,0.0007202536007413496,0.0017562346329469403,0.02645333571260844,0.016666666666666666,0.008434609530499904,0.006172839506172201,0.024462431843174048,0.026261628246130098
2000-07,-0.01563468916411037,-0.016341275904170893,0.0007065867400605219,0.0007012622720896644,-0.014944390909667371,0.01375,0.007789562879850331,0.0039040713887332767,-0.015824010508452783,-0.015133845017925918
2000-08,0.06211387491366227,0.06069910494167097,0.0014147699719913032,-0.0003503854239662596,0.061741725693300165,0.015500000000000002,0.005897424667133944,0.002222222222224346,0.061818326084530244,0.06144628042016986
2000-09,-0.05279338309892001,-0.053482974719764265,0.0006895916208442543,0.000701016473887206,-0.05212937565629738,0.015,0.007789315340577252,0.004988913525499239,-0.05298015517537998,-0.05231627866305988
2000-10,-0.004224048231164512,-0.00494948542177065,0.0007254371906061374,-0.0007005253940455258,-0.00492161457215845,0.0135,0.005878196147110382,0.012134583563155665,-0.004416197143088767,-0.005113628878890442
2000-11,-0.07883984036538372,-0.08006861010730892,0.0012287697419252064,0.010164738871363488,-0.0694764878839943,0.012916666666666667,0.017404252833274958,0.014713896457762443,-0.07910748916000583,-0.0697468572587231
2000-12,0.004894909789198598,0.004053445623728669,0.0008414641654699295,0.002775850104094424,0.007684347429140814,0.01325,0.009795281054822969,0.012352309344794143,0.004685356831044775,0.007474212783386447
2001-01,0.035474647939257586,0.03463657667616449,0.0008380712630930987,0.0041522491349481605,0.03977419665042414,0.013,0.011348673587082025,0.010610079575594344,0.03526560391646029,0.03956428462476391
2001-02,-0.09117767644550867,-0.09229073539585964,0.0011130589503509647,0.001378359751895264,-0.08992499233309725,0.013666666666666666,0.008388008270158398,0.006824146981627699,-0.09142796862139466,-0.0901756295016447
2001-03,-0.06335156255129415,-0.06420471080339152,0.0008531482520973688,0.0010323468685475845,-0.06238461646996396,0.012249999999999999,0.007372218398715047,0.007299270072993469,-0.06356286812244209,-0.06259614018175652
2001-04,0.07770723325789963,0.07681436165439459,0.000892871603505041,0.0013750429700929434,0.07918912701280911,0.013083333333333334,0.00796742866964606,0.007246376811593125,0.07748996918404054,0.07897156419151274
2001-05,0.0067033448534032924,0.005090187401275648,0.0016131574521276448,0.003089598352214118,0.009813653848830706,0.012166666666666666,0.009693271541366233,0.004110996916754317,0.006378037902250812,0.00948734182985822
2001-06,-0.024341394216136458,-0.02503538942756467,0.0006939952114282111,0.002737850787132068,-0.021670186534318958,0.012249999999999999,0.009172085329682833,0.0005117707267148219,-0.024528826831184024,-0.021858132311899148
2001-07,-0.009840633980667035,-0.010740149595403703,0.0008995156147366679,0.0020477815699659896,-0.007813003879603486,0.011583333333333334,0.008394084186575723,-0.0010230179028143382,-0.010058894656210867,-0.008031711505336103
