dep,sp_usd,fx_needed
0.08,0.04,0.04486204226484314
0.08,0.06,0.025082353816857417
0.08,0.08,0.006037628246641669
0.08,0.1,-0.012312351292740775
0.1,0.04,0.06581096714066259
0.1,0.06,0.045634706522760915
0.1,0.08,0.026208144395073685
0.1,0.1,0.007490257584402027
0.12,0.04,0.08714426447850432
0.12,0.06,0.0665641553544436
0.12,0.08,0.046748750703176745
0.12,0.1,0.027656206230706637
0.147,0.04,0.11656527916360115
0.147,0.06,0.09542821756088271
0.147,0.08,0.07507655536746172
0.147,0.1,0.05546731587147513
