horizon,windows,win_gross,win_net,win_vs_usd_dep,dep_beats_cpi,sp_beats_cpi,median_excess_net,p10_excess_net,p90_excess_net,worst_excess_net,best_excess_net,worst_start,best_start
1,309,0.5792880258899676,0.5210355987055016,0.6699029126213593,0.86084142394822,0.6084142394822006,0.009386120491798211,-0.22549184002068084,0.2449018675552204,-0.4534136179783773,0.7075763961509327,2007-12,2015-02
3,285,0.6350877192982456,0.5824561403508772,0.7403508771929824,0.7473684210526316,0.6,0.029532726215666383,-0.13076317653274144,0.1727506026947771,-0.2541420436489108,0.3528701952621627,2000-04,2013-01
5,261,0.6206896551724138,0.6015325670498084,0.6551724137931034,0.9846743295019157,0.632183908045977,0.052378839969627444,-0.10349569569182326,0.18542755812837486,-0.16085679223597715,0.23187230076834453,2004-02,2011-10
7,237,0.6413502109704642,0.6371308016877637,0.5864978902953587,1.0,0.6413502109704642,0.04876532623185614,-0.09961561947553059,0.1602643896798332,-0.15132518771782977,0.21909424118557386,2002-02,2009-02
10,201,0.7512437810945274,0.736318407960199,0.6517412935323383,1.0,0.7512437810945274,0.06956567148207204,-0.07609691712618571,0.13872166065221125,-0.1192929159241235,0.16322487292713528,2000-09,2012-01
15,141,0.9219858156028369,0.900709219858156,0.8085106382978723,1.0,0.9290780141843972,0.06150094963568398,0.0017138346353162692,0.10813973379508113,-0.04935919175276415,0.12282213197887515,2000-04,2009-02
20,81,1.0,0.9259259259259259,0.8765432098765432,1.0,1.0,0.044778363660932685,0.005671933675149177,0.062042165552123496,-0.006711797874516479,0.06747881859284788,2000-04,2006-07
