horizon,windows,win,median_ratio,worst_ratio,best_ratio
3,285,0.5894736842105263,1.0570803858755813,0.5358919905745625,1.848321151424469
5,261,0.6590038314176245,1.1139051764524697,0.496485976295181,2.1650014415428114
10,201,0.7711442786069652,1.5780450651166948,0.5939632692150474,2.525713807066175
15,141,1.0,2.437548330126127,1.0337887043326641,3.384446626563902
20,81,1.0,2.858358953978472,1.8776319866407933,3.6622981590643646
