horizon,p_win,p5,p25,median,p75,p95
1,0.5251,-0.30021040318410797,-0.08817665519394136,0.011106687241557278,0.1055718412472062,0.33802922054277706
3,0.5572,-0.1734360717039025,-0.05816098841190956,0.01632531173395879,0.09283400934079272,0.21524278100114236
5,0.5797,-0.131775298475276,-0.044994259585627,0.018099907007114502,0.07796342667876249,0.17336689579963682
10,0.615,-0.08715856730259831,-0.02510409632078056,0.019621133006839875,0.06495689272240562,0.13148208317171006
15,0.6401,-0.06855095075572341,-0.017398450203255367,0.020667491984371344,0.058567955954395734,0.11389997582108441
20,0.6702,-0.05597943090105231,-0.01065035858062735,0.02143017297820482,0.055080399378010625,0.10302882822009442
